"player","team","pos","min","obpm","dbpm","bpm","role"
"Carlos Neva","Granada","DF",35,0.04,-0.019,0.021,1
"Ilias Akhomach","Villarreal","MF,FW",16.8,0.055,-0.035,0.02,2.33333333333333
"Giovanni González","Mallorca","DF",27.4,0.028,-0.007,0.02,1
"David Alaba","Real Madrid","DF",12.8,-0.005,0.024,0.019,1
"Jon Guridi","Alaves","MF",29.8,0.01,0.008,0.018,2
"Álvaro García","Rayo Vallecano","FW,MF",27.5,0.019,-0.001,0.018,2.66666666666667
"Luis Javier Suárez","Almeria","FW",10.2,0.088,-0.072,0.017,3
"Anastasios Douvikas","Celta Vigo","FW",10.1,0.04,-0.024,0.016,3
"Luis Rioja","Alaves","FW,MF",27.8,0.001,0.014,0.015,2.66666666666667
"Beñat Turrientes","Real Sociedad","MF",18.7,-0.014,0.029,0.014,2
"Umar Sadiq","Real Sociedad","FW",12,0.025,-0.012,0.014,3
"Alfonso Pedraza","Villarreal","DF",12.4,0.063,-0.049,0.014,1
"Rubén Alcaraz","Cadiz","MF",34.8,-0.016,0.03,0.014,2
"César Montes","Almeria","DF",19.9,0.044,-0.031,0.013,1
"Álex Berenguer","Athletic Club","FW",17.7,-0.006,0.018,0.012,3
"Djené","Getafe","DF,MF",27.6,-0.007,0.017,0.011,1.33333333333333
"Sergio Akieme","Almeria","DF",18.6,0.062,-0.052,0.011,1
"Alberto Moreno","Villarreal","DF",16.5,0.078,-0.069,0.009,1
"Luca de la Torre","Celta Vigo","MF",21.7,0.016,-0.008,0.008,2
"Abdul Mumin","Rayo Vallecano","DF",18.8,-0.017,0.025,0.008,1
"Isaac Carcelen","Cadiz","DF",29,0.02,-0.012,0.008,1
"Largie Ramazani","Almeria","FW,MF",17.3,0.044,-0.036,0.008,2.66666666666667
"Martin Valjent","Mallorca","DF",26.1,0.004,0.003,0.007,1
"Aridane Hernández","Rayo Vallecano","DF",18.8,-0.006,0.013,0.007,1
"Adrià Pedrosa","Sevilla","DF",19.5,0.042,-0.036,0.006,1
"Alejandro Balde","Barcelona","DF",15.3,0.044,-0.039,0.005,1
"Rodrigo De Paul","Atletico Madrid","MF",23.1,-0.016,0.02,0.004,2
"Nemanja Gudelj","Sevilla","DF,MF",19.4,0.013,-0.009,0.004,1.33333333333333
"Alfonso Espino","Rayo Vallecano","DF",27.9,0.03,-0.026,0.004,1
"Rubén Peña","Osasuna","DF,FW",23.2,-0.002,0.004,0.003,1.66666666666667
"Yerson Mosquera","Villarreal","DF",13.7,0.047,-0.045,0.001,1
"Aïssa Mandi","Villarreal","DF",12.4,0.007,-0.005,0.001,1
"Lucas Robertone","Almeria","MF",26.5,0.016,-0.015,0.001,2
"Johan Mojica","Osasuna","DF",22.7,0.028,-0.029,-0.002,1
"Samu Costa","Mallorca","MF",25.6,-0.056,0.052,-0.004,2
"Abdón Prats","Mallorca","FW,MF",14.1,-0.006,0.002,-0.004,2.66666666666667
"Iñigo Lekue","Athletic Club","DF",22.2,-0.007,0.003,-0.005,1
"Guido Rodríguez","Real Betis","MF",20.5,-0.02,0.014,-0.006,2
"Héctor Bellerín","Real Betis","DF",19,0.007,-0.012,-0.006,1
"Julian Araujo","Las Palmas","DF",16.2,-0.011,0.004,-0.007,1
"Marc Roca","Real Betis","MF",22,-0.033,0.025,-0.008,2
"Gerard Gumbau","Granada","MF",29.7,-0.009,0.001,-0.008,2
"Dion Lopy","Almeria","MF",21.3,-0.016,0.008,-0.009,2
"Sokratis Papastathopoulos","Real Betis","DF",12.6,-0.015,0.005,-0.01,1
"Rubén Duarte","Alaves","DF",20.9,0.013,-0.023,-0.01,1
"Gonzalo Villar","Granada","MF",20,-0.015,0.005,-0.01,2
"Toni Kroos","Real Madrid","MF",23.6,-0.045,0.034,-0.011,2
"Iñigo Martínez","Barcelona","DF",14.4,-0.006,-0.004,-0.011,1
